Scenario,Category,Sub - mission,Level,Action,Entity,From,Time,Location,Task Objective,Objective function,Hard Constrains,Soft Constrains (Preferences)
"For the upcoming mission, ship INS Mysore's 76 mm naval gun requires evaluation. The target reliability is 0.91. Evaluation criteria include range (16 km), firing consistency, and accuracy. The gun's status can be evaluated using parameters - Operational Efficiency (OE), System Calibration (SC), and Fire Rate (FR). The mission risk score must not exceed 11/25, assessed using parameters - Adverse Weather Impact (AWI) and Crew Training Level (CTL).",Mission,,Ship,Evaluate,Ship,Fleet,Immediate,Sea,Missile firing,Minimum risk,"Reliability,Risk score",
"Ship INS Betwa needs to be evaluated for its 100 mm naval gun performance. The reliability target is 0.92. Important criteria include range (20 km), accuracy, and rate of fire. The gun's operational status can be assessed using parameters - Operational Readiness (OR), Firing Precision (FP), and Maintenance Schedule Compliance (MSC). The acceptable risk score for the mission is up to 10/25, using parameters - Equipment Wear (EW) and Tactical Readiness (TR).",Mission,,Ship,Evaluate,Ship,Fleet,Immediate,Sea,Missile firing,Minimum risk,"Reliability,Risk score",
"For this mission, ship INS Tabar's AK-100 naval gun must be evaluated. The reliability target is set at 0.90. Key criteria include range (21 km), consistency, and accuracy. Gun status will be evaluated using parameters - Gun System Health (GSH), Precision Consistency (PC), and Firing Efficiency (FE). The mission's risk score must be under 11/25, evaluated using parameters - Mission Complexity (MC) and Logistic Support Availability (LSA).",Mission,,Ship,Evaluate,Ship,Fleet,Immediate,Sea,Missile firing,Minimum risk,"Reliability,Risk score",
"Ship INS Sumedha requires evaluation of its 76 mm naval gun. The target reliability is 0.94. Criteria include range (15 km), accuracy, and firing rate. Gun status can be assessed using parameters - Readiness Status (RS), Accuracy Rate (AR), and Operational Effectiveness (OE). The mission risk score should not exceed 9/25, using parameters - Environmental Factors (EF) and Crew Skill Level (CSL).",Mission,,Ship,Evaluate,Ship,Fleet,Immediate,Sea,Missile firing,Minimum risk,"Reliability,Risk score",
"For this mission, ship INS Sunayna's 30 mm gun needs evaluation. The reliability target is 0.93. Important criteria are range (10 km), consistency, and precision. Gun status will be evaluated using parameters - System Readiness (SR), Maintenance Consistency (MC), and Performance Metrics (PM). The mission's risk score must stay below 12/25, assessed using parameters - Threat Level (TL) and Equipment Condition (EC).",Mission,,Ship,Evaluate,Ship,Fleet,Immediate,Sea,Missile firing,Minimum risk,"Reliability,Risk score",
"Ship INS Tarangini's 40 mm naval gun needs evaluation for the mission. The reliability target is set at 0.91. Key criteria include range (12 km), accuracy, and firing consistency. The gun's status can be evaluated using parameters - Operational Capacity (OC), Calibration Accuracy (CA), and Fire Control Efficiency (FCE). The mission risk score must not exceed 10/25, evaluated using parameters - Operational Risk (OR) and Supply Chain Stability (SCS).",Mission,,Ship,Evaluate,Ship,Fleet,Immediate,Sea,Missile firing,Minimum risk,"Reliability,Risk score",
"For the upcoming mission, ship INS Viraat’s 76 mm OTO Melara gun requires assessment. The target reliability is 0.95. Criteria include operational range (16 km), consistency, and precision. Gun status will be evaluated using parameters - System Health Index (SHI), Engagement Rate (ER), and Firing Precision (FP). The mission risk score should not surpass 9/25, assessed using parameters - Environmental Conditions (EC) and Crew Proficiency (CP).",Mission,,Ship,Evaluate,Ship,Fleet,Immediate,Sea,Missile firing,Minimum risk,"Reliability,Risk score",
"Ship INS Ganga needs evaluation for its 127 mm gun. The reliability target is 0.92. Important criteria are range (25 km), accuracy, and consistency. Gun status will be evaluated using parameters - Readiness Index (RI), Precision Consistency (PC), and Operational Efficiency (OE). The mission risk score must remain below 11/25, using parameters - Risk Factor (RF) and Equipment Readiness (ER).",Mission,,Ship,Evaluate,Ship,Fleet,Immediate,Sea,Missile firing,Minimum risk,"Reliability,Risk score",
"For the mission, ship INS Aditya’s 76 mm gun must be evaluated. The target reliability is 0.94. Key criteria include range (15 km), consistency, and firing precision. The gun's status can be assessed using parameters - Operational Readiness (OR), Firing Accuracy (FA), and System Calibration (SC). The mission risk score must not be more than 10/25, using parameters - Operational Environment (OE) and Crew Readiness (CR).",Mission,,Ship,Evaluate,Ship,Fleet,Immediate,Sea,Missile firing,Minimum risk,"Reliability,Risk score",
"Ship INS Beas requires evaluation for its mission, focusing on its 100 mm naval gun. The reliability target is 0.93. Evaluation criteria include range (20 km), firing rate, and accuracy. The gun's operational status can be assessed using parameters - System Readiness (SR), Maintenance Effectiveness (ME), and Performance Metrics (PM). The mission's risk score must stay under 11/25, using parameters - Environmental Risk (ER) and Crew Competence (CC).",Mission,,Ship,Evaluate,Ship,Fleet,Immediate,Sea,Missile firing,Minimum risk,"Reliability,Risk score",
"For the upcoming mission, ship INS Brahmaputra's 100 mm naval gun needs evaluation. The target reliability is 0.90. Criteria include range (21 km), firing consistency, and accuracy. The gun's status can be assessed using parameters - System Readiness (SR), Operational Precision (OP), and Maintenance Adherence (MA). The mission risk score must not exceed 11/25, evaluated using parameters - Equipment Wear (EW) and Crew Readiness Level (CRL).",Mission,,Ship,Evaluate,Ship,Fleet,Immediate,Sea,Missile firing,Minimum risk,"Reliability,Risk score",
"Ship INS Talwar requires evaluation for its mission, focusing on the performance of its A-190 naval gun. The reliability target is 0.94. Important criteria are maximum range (22 km), firing rate, and accuracy. The gun’s operating status can be assessed using parameters - Readiness Status (RS), Accuracy Rate (AR), and Operational Effectiveness (OE). The mission risk score must stay below 12/25, using parameters - Adverse Weather Impact (AWI) and Logistic Support Availability (LSA).",Mission,,Ship,Evaluate,Ship,Fleet,Immediate,Sea,Missile firing,Minimum risk,"Reliability,Risk score",
"For this mission, ship INS Kora’s 76 mm OTO Melara gun must be evaluated. The target reliability is set at 0.92. Key criteria include range (16 km), consistency, and accuracy. Gun status will be evaluated using parameters - Operational Efficiency (OE), Calibration Accuracy (CA), and Fire Rate (FR). The mission's risk score must not exceed 10/25, assessed using parameters - Environmental Conditions (EC) and Crew Training Level (CTL).",Mission,,Ship,Evaluate,Ship,Fleet,Immediate,Sea,Missile firing,Minimum risk,"Reliability,Risk score",
"Ship INS Kirch requires evaluation of its 76 mm naval gun. The target reliability is 0.95. Criteria include operational range (15 km), firing precision, and consistency. Gun status can be assessed using parameters - System Health Index (SHI), Engagement Rate (ER), and Performance Stability (PS). The mission risk score should not exceed 9/25, using parameters - Threat Level Assessment (TLA) and Crew Proficiency (CP).",Mission,,Ship,Evaluate,Ship,Fleet,Immediate,Sea,Missile firing,Minimum risk,"Reliability,Risk score",
"For this mission, ship INS Sujata’s 30 mm gun needs evaluation. The reliability target is 0.93. Important criteria are range (10 km), accuracy, and firing consistency. Gun status will be evaluated using parameters - Readiness Index (RI), Maintenance Consistency (MC), and Operational Capacity (OC). The mission's risk score must stay below 12/25, assessed using parameters - Risk Environment (RE) and Equipment Condition (EC).",Mission,,Ship,Evaluate,Ship,Fleet,Immediate,Sea,Missile firing,Minimum risk,"Reliability,Risk score",
"Ship INS Magar’s 40 mm naval gun needs evaluation for the mission. The reliability target is set at 0.91. Key criteria include range (12 km), firing precision, and rate of fire. The gun's status can be evaluated using parameters - Functional Efficiency (FE), Calibration Consistency (CC), and Fire Control Metrics (FCM). The mission risk score must not exceed 10/25, evaluated using parameters - Operational Risk (OR) and Supply Chain Stability (SCS).",Mission,,Ship,Evaluate,Ship,Fleet,Immediate,Sea,Missile firing,Minimum risk,"Reliability,Risk score",
"For the upcoming mission, ship INS Nireekshak’s 76 mm OTO Melara gun requires assessment. The target reliability is 0.95. Criteria include operational range (16 km), accuracy, and firing consistency. Gun status will be evaluated using parameters - System Health (SH), Engagement Success Rate (ESR), and Firing Accuracy (FA). The mission risk score should not surpass 9/25, assessed using parameters - Environmental Factors (EF) and Crew Skill Level (CSL).",Mission,,Ship,Evaluate,Ship,Fleet,Immediate,Sea,Missile firing,Minimum risk,"Reliability,Risk score",
"Ship INS Kiltan needs evaluation for its mission, focusing on the capabilities of its AK-630M gun system. The reliability target is 0.92. Criteria include effective range (5 km), precision, and firing rate. Gun status can be assessed using parameters - System Status (SS), Accuracy Rate (AR), and Operational Readiness (OR). The mission's risk score must be under 10/25, using parameters - Risk Assessment (RA) and System Integrity (SI).",Mission,,Ship,Evaluate,Ship,Fleet,Immediate,Sea,Missile firing,Minimum risk,"Reliability,Risk score",
"For the mission, ship INS Airavat’s 76 mm gun must be evaluated. The target reliability is 0.94. Key criteria include range (15 km), consistency, and firing precision. The gun's status can be assessed using parameters - Operational Readiness (OR), Firing Accuracy (FA), and System Calibration (SC). The mission risk score must not be more than 10/25, using parameters - Operational Environment (OE) and Crew Readiness (CR).",Mission,,Ship,Evaluate,Ship,Fleet,Immediate,Sea,Missile firing,Minimum risk,"Reliability,Risk score",
"Ship INS Jalashwa requires evaluation for its mission, focusing on its 30 mm CRN-91 naval gun. The reliability target is 0.90. Evaluation criteria include range (8 km), firing rate, and accuracy. The gun’s operational status can be assessed using parameters - System Readiness (SR), Maintenance Effectiveness (ME), and Performance Metrics (PM). The mission’s risk score must stay below 11/25, using parameters - Environmental Risk (ER) and Crew Competence (CC).",Mission,,Ship,Evaluate,Ship,Fleet,Immediate,Sea,Missile firing,Minimum risk,"Reliability,Risk score",
"Ship INS Jyoti requires an evaluation for its mission, focusing on the capabilities of its 40 mm Bofors gun system. The reliability target is 0.93. Criteria include effective range (12 km), precision, and rate of fire. Gun status can be assessed using parameters - System Status (SS), Accuracy Rate (AR), and Operational Readiness (OR). The mission's risk score must be under 10/25, using parameters - Environmental Impact (EI) and Crew Proficiency (CP).",Mission,,Ship,Evaluate,Ship,Fleet,Immediate,Sea,Missile firing,Minimum risk,"Reliability,Risk score",
"For the upcoming mission, ship INS Sindhudhvaj’s 76 mm AK-176 gun needs evaluation. The target reliability is set at 0.92. Key criteria include range (15 km), consistency, and accuracy. Gun status will be evaluated using parameters - Operational Efficiency (OE), Calibration Consistency (CC), and Fire Rate (FR). The mission's risk score must not exceed 11/25, assessed using parameters - Weather Conditions (WC) and Crew Training Level (CTL).",Mission,,Ship,Evaluate,Ship,Fleet,Immediate,Sea,Missile firing,Minimum risk,"Reliability,Risk score",
"Ship INS Shardul requires evaluation of its 30 mm CRN-91 naval gun. The reliability target is 0.91. Evaluation criteria include range (8 km), firing rate, and accuracy. The gun’s operational status can be assessed using parameters - System Readiness (SR), Maintenance Effectiveness (ME), and Performance Metrics (PM). The mission’s risk score must stay below 12/25, using parameters - Threat Level Assessment (TLA) and Equipment Condition (EC).",Mission,,Ship,Evaluate,Ship,Fleet,Immediate,Sea,Missile firing,Minimum risk,"Reliability,Risk score",
"For this mission, ship INS Saryu’s 76 mm OTO Melara gun needs assessment. The reliability target is 0.95. Important criteria are operational range (16 km), consistency, and accuracy. Gun status can be assessed using parameters - System Health Index (SHI), Engagement Rate (ER), and Performance Stability (PS). The mission's risk score should not exceed 9/25, using parameters - Operational Environment (OE) and Crew Proficiency (CP).",Mission,,Ship,Evaluate,Ship,Fleet,Immediate,Sea,Missile firing,Minimum risk,"Reliability,Risk score",
"Ship INS Kursura requires evaluation for its mission, focusing on its 30 mm CRN-91 naval gun. The reliability target is 0.90. Criteria include range (8 km), firing rate, and accuracy. The gun’s operational status can be assessed using parameters - System Readiness (SR), Maintenance Effectiveness (ME), and Performance Metrics (PM). The mission’s risk score must stay below 11/25, using parameters - Environmental Risk (ER) and Crew Competence (CC).",Mission,,Ship,Evaluate,Ship,Fleet,Immediate,Sea,Missile firing,Minimum risk,"Reliability,Risk score",
"For the mission, ship INS Vikramaditya's CIWS (Close-In Weapon System) needs evaluation. The target reliability is set at 0.94. Key criteria include reaction time, accuracy, and effectiveness against incoming threats. The CIWS's operational status can be assessed using parameters - System Health Check (SHC), Operational Integrity (OI), and Performance Stability (PS). The mission's risk score must not exceed 10/25, assessed using parameters - Environmental Conditions (EC) and Crew Training Level (CTL).",Mission,,Ship,Evaluate,Ship,Fleet,Immediate,Sea,Missile firing,Minimum risk,"Reliability,Risk score",
"Ship INS Karanj requires evaluation for its mission, focusing on its 76 mm OTO Melara gun. The reliability target is 0.92. Evaluation criteria include range (16 km), consistency, and accuracy. The gun’s operational status can be assessed using parameters - Operational Readiness (OR), Firing Accuracy (FA), and System Calibration (SC). The mission’s risk score must not be more than 10/25, using parameters - Operational Environment (OE) and Crew Readiness (CR).",Mission,,Ship,Evaluate,Ship,Fleet,Immediate,Sea,Missile firing,Minimum risk,"Reliability,Risk score",
"For this mission, ship INS Kamorta’s 30 mm gun needs evaluation. The reliability target is 0.93. Important criteria are range (8 km), accuracy, and firing consistency. Gun status will be evaluated using parameters - Readiness Index (RI), Maintenance Consistency (MC), and Operational Capacity (OC). The mission's risk score must stay below 12/25, assessed using parameters - Risk Environment (RE) and Equipment Condition (EC).",Mission,,Ship,Evaluate,Ship,Fleet,Immediate,Sea,Missile firing,Minimum risk,"Reliability,Risk score",
"Ship INS Kochi requires evaluation of its 76 mm OTO Melara gun. The reliability target is 0.94. Criteria include operational range (16 km), consistency, and accuracy. Gun status will be evaluated using parameters - System Health Index (SHI), Engagement Rate (ER), and Performance Stability (PS). The mission's risk score should not exceed 9/25, using parameters - Environmental Factors (EF) and Crew Skill Level (CSL).",Mission,,Ship,Evaluate,Ship,Fleet,Immediate,Sea,Missile firing,Minimum risk,"Reliability,Risk score",
"For the mission, ship INS Shakti’s 40 mm Bofors gun must be evaluated. The target reliability is 0.91. Key criteria include range (12 km), precision, and rate of fire. The gun's status can be assessed using parameters - Functional Efficiency (FE), Calibration Consistency (CC), and Fire Control Metrics (FCM). The mission's risk score must not exceed 11/25, evaluated using parameters - Operational Risk (OR) and Supply Chain Stability (SCS).",Mission,,Ship,Evaluate,Ship,Fleet,Immediate,Sea,Missile firing,Minimum risk,"Reliability,Risk score",
